Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C2, C20, C21, C22, C23, C231, C232, C237, C238, C24, C241, C29, C3, C30, C31, C4, C5, C7",0603,21,1u,
"C10, C11, C16, C17, C18, C19, C6",CAPAE1030X850N,7,470u,
"C101, C201",1210,2,100u,
"C103, C112, C113, C115, C120, C122, C123, C124, C125, C126, C14, C15, C203, C212, C213, C215, C220, C222, C223, C224, C225, C226, C230, C233, C235, C236, C239, C240, C26, C9",0603,30,100n,
"C104, C111, C114, C116, C121, C128, C204, C211, C214, C216, C221, C228, C27",0603,13,1n/1,
"C105, C205",0603,2,470n/1,
"C108, C109, C208, C209",0603,4,82pF/1,
"C118, C119, C218, C219",0603,4,15pF/1,
"C127, C202, C210, C217, C227, C229, C234, C25, C28, C319, C32, C320, C321, C8",0603,14,10u,
"D1, D2",0805,2,LED,
J1,PinHeader_2x20_P2.54mm_Vertical-1,1,GPIFII_J6,
"J101, J201",BNC_Right_Angle-DOSIN-801-0050_5pin,2,BNC_Rosenberger,
J2,PinHeader_2x20_P2.54mm_Vertical-1,1,GPIFII_J7,
J202,KLP42X61WWRR,1,KLP42X-61-WW_RR,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
J4,SMA_Amphenol_901-144_Vertical2,1,Conn_01x01_Shielded,
"L1, L2",L_Bourns-SRU8043_2,2,100u,
Q1,SOT-223-3_TabPin2,1,FZT690B,
"Q101, Q102, Q201, Q202",SOT-23,4,CMPT5179,
Q2,SOT-223-3_TabPin2,1,FZT790A,
"R1, R123, R126, R223, R226, R232, R234, R236, R238",0603,9,10k,
"R101, R103, R106, R201, R203, R206",0603,6,75B,
"R102, R202",0603,2,150B,
"R104, R105, R111, R116, R204, R205, R211, R216",0603,8,1kB,
"R107, R108, R207, R208",0603,4,39B,
"R109, R110, R209, R210",0603,4,499B,
"R112, R117, R212, R217",0603,4,2k49B,
"R113, R118, R213, R218",0603,4,4k99B,
"R114, R115, R214, R215",0603,4,6k49B,
"R119, R120, R219, R220",0603,4,40B,
"R121, R122, R221, R222",0603,4,22B,
"R124, R224",0603,2,4k99,
"R125, R127, R225, R228",0603,4,3k3,
"R2, R3",0603,2,100,
"R227, R229, R230, R240, R241, R243, R4, R5",0603,8,1k,
"R233, R235, R237, R239",0603,4,47k,
"R310, R311, R312, R314, R6",0603,5,0R,
"RV101, RV201",Potentiometer_Bourns_3266W_Vertical,2,10k,
SW1,PTS810SJG250SMTRLFS,1,PTS810SJM250SMTRLFS,
"SW101, SW201",SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile,2,SW_DIP_x04,
"SW102, SW103, SW104, SW2, SW202, SW203, SW204",SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile,7,SW_DIP_x03,
"SW105, SW205",SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile,2,SW_DIP_x02,
U1,SO-16_3.9x9.9mm_P1.27mm,1,4043,
"U101, U201",SO-8_3.9x4.9mm_P1.27mm,2,AD8138ARZ,
"U102, U202",TSSOP-28_4.4x9.7mm_P0.65mm,2,AD9235,
"U2, U3, U4, U5",SOIC-20W_7.5x12.8mm_P1.27mm,4,74VHC541,
"U203, U204",SOP65P780X200-20N,2,PCM1802DBR,
U6,SOT-23-5,1,TPS60401,
U7,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_2,1,ADP7156ARDZ,
Y1,CB3LV5I40M0000,1,CB3LV-5I-40M0000,
